neighbourhoodName,total_listings,avg_price
Sunset,26,1748780.3076923077
Marpole,21,3211694.2857142864
Downtown,172,2407403.203488372
Fairview,50,1166799.9799999995
Oakridge,20,3853939.4000000004
West End,62,2174113.951612903
Killarney,27,970825.851851852
Kitsilano,54,3730284.777777777
Kerrisdale,22,7449990.863636364
Riley Park,18,2099633.3333333335
Strathcona,4,1133000.0
Shaughnessy,37,9838836.756756756
South Cambie,8,2789250.0
Arbutus-Ridge,28,3805313.1071428573
Mount Pleasant,33,1215878.7575757576
West Point Grey,33,8711324.242424242
Hastings-Sunrise,22,1580586.3636363633
Dunbar-Southlands,29,4856648.275862068
Grandview-Woodland,26,1510864.8846153845
Renfrew-Collingwood,38,1151239.157894737
Victoria-Fraserview,18,2106538.888888889
Kensington-Cedar Cottage,51,1681158.3333333328
