streetAddress,price,bathrooms,bedrooms,livingArea,homeType,ba_per_sqft,br_per_sqft,neighbourhoodName,ranking_ba,ranking_br
2843 E 20th Ave,1759000.0,3.0,8.0,2065.0,SINGLE_FAMILY,0.0014527845036319612,0.00387409200968523,Renfrew-Collingwood,33,1
5058 Joyce St #401,928000.0,2.0,3.0,961.0,CONDO,0.002081165452653486,0.003121748178980229,Renfrew-Collingwood,21,2
3651 Rae Ave,1250000.0,3.0,4.0,1300.0,TOWNHOUSE,0.002307692307692308,0.003076923076923077,Renfrew-Collingwood,18,3
2469 E 40th Ave,1399000.0,4.0,4.0,1437.0,MULTI_FAMILY,0.0027835768963117608,0.0027835768963117608,Renfrew-Collingwood,2,6
4770 Duchess St #SL1,1049000.0,3.0,3.0,1086.0,TOWNHOUSE,0.0027624309392265192,0.0027624309392265192,Renfrew-Collingwood,3,7
5097 Moss St,1249800.0,4.0,3.0,1246.0,MULTI_FAMILY,0.0032102728731942215,0.002407704654895666,Renfrew-Collingwood,1,19
1597 W 63rd Ave,2990000.0,4.0,6.0,2364.0,SINGLE_FAMILY,0.001692047377326565,0.0025380710659898475,Marpole,13,1
8507 Fremlin St,1699980.0,3.0,3.0,1233.0,MULTI_FAMILY,0.0024330900243309003,0.0024330900243309003,Marpole,1,2
953 W 59th Ave,1460000.0,3.0,3.0,1286.0,TOWNHOUSE,0.0023328149300155523,0.0023328149300155523,Marpole,2,3
1328 W 73rd Ave #1,699000.0,2.0,2.0,858.0,TOWNHOUSE,0.002331002331002331,0.002331002331002331,Marpole,3,4
1412 E 54th Ave,1698000.0,4.0,5.0,1795.0,MULTI_FAMILY,0.0022284122562674096,0.002785515320334262,Oakridge,4,1
4932 Cambie St #208,1199000.0,2.0,2.0,829.0,CONDO,0.0024125452352231603,0.0024125452352231603,Oakridge,1,2
333 Wethersfield Dr #214,1199888.0,2.0,3.0,1246.0,CONDO,0.0016051364365971107,0.002407704654895666,Oakridge,13,3
969 W 46th Ave,1899000.0,4.0,3.0,1699.0,TOWNHOUSE,0.002354326074161271,0.0017657445556209534,Oakridge,2,10
5980 Oak St,1868000.0,4.0,3.0,1789.0,TOWNHOUSE,0.0022358859698155395,0.0016769144773616546,Oakridge,3,13
5631 Willow St,1628000.0,3.0,3.0,1328.0,TOWNHOUSE,0.002259036144578313,0.002259036144578313,South Cambie,1,1
4418 Cambie St,1780000.0,3.0,3.0,1365.0,TOWNHOUSE,0.002197802197802198,0.002197802197802198,South Cambie,2,2
5289 Cambie St #601,3280000.0,3.0,4.0,1935.0,CONDO,0.0015503875968992248,0.0020671834625322996,South Cambie,5,3
888 W 16th Ave #2,1049000.0,2.0,2.0,1127.0,CONDO,0.001774622892635315,0.001774622892635315,South Cambie,3,5
2376 W 8th Ave,3789000.0,7.0,11.0,3505.0,SINGLE_FAMILY,0.0019971469329529245,0.003138373751783167,Kitsilano,15,1
2025 Stephens St #408,769000.0,2.0,2.0,703.0,CONDO,0.002844950213371266,0.002844950213371266,Kitsilano,1,2
2246 W 8th Ave,1799900.0,3.0,4.0,1530.0,TOWNHOUSE,0.00196078431372549,0.00261437908496732,Kitsilano,17,3
2865 W 16th Ave,2200000.0,4.0,3.0,1507.0,MULTI_FAMILY,0.0026542800265428003,0.0019907100199071004,Kitsilano,2,14
2420 W 6th Ave,1799000.0,4.0,2.0,1549.0,TOWNHOUSE,0.0025823111684958036,0.0012911555842479018,Kitsilano,3,42
368 E 33rd Ave,2960000.0,7.0,7.0,1945.0,SINGLE_FAMILY,0.0035989717223650387,0.0035989717223650387,Riley Park,1,1
1253 E 41st Ave,1288000.0,4.0,4.0,1180.0,MULTI_FAMILY,0.003389830508474576,0.003389830508474576,Riley Park,2,2
2121 W 38th Ave #802,968000.0,2.0,3.0,925.0,CONDO,0.002162162162162162,0.003243243243243243,Riley Park,6,3
532 E 17th Ave,1788000.0,4.0,5.0,1725.0,SINGLE_FAMILY,0.002318840579710145,0.002898550724637681,Riley Park,3,4
734 E 49th Ave,1648000.0,4.0,5.0,1552.0,MULTI_FAMILY,0.002577319587628866,0.0032216494845360823,Sunset,4,1
7480 Main St,1998000.0,5.0,7.0,2323.0,SINGLE_FAMILY,0.002152389151958674,0.003013344812742144,Sunset,9,2
3430 E Kent Ave S #701,983400.0,2.0,3.0,1022.0,CONDO,0.0019569471624266144,0.0029354207436399216,Sunset,13,3
838 E 56th Ave,1688000.0,4.0,4.0,1378.0,MULTI_FAMILY,0.002902757619738752,0.002902757619738752,Sunset,1,4
836/838 E 56th Ave,3200000.0,8.0,8.0,2796.0,MULTI_FAMILY,0.002861230329041488,0.002861230329041488,Sunset,2,6
1256 E 41st Ave,2199000.0,6.0,6.0,2252.0,SINGLE_FAMILY,0.0026642984014209592,0.0026642984014209592,Sunset,3,7
