streetAddress,neighbourhoodName,bathrooms,bedrooms,price,livingArea,homeType,dollarPerSqFt,ranking
3439 Point Grey Rd,Kitsilano,4.0,4.0,24988000.0,5475.0,SINGLE_FAMILY,4564.02,1
2529 Point Grey Rd,Kitsilano,3.0,3.0,22500000.0,4309.0,SINGLE_FAMILY,5221.63,2
2487 Point Grey Rd,Kitsilano,5.0,4.0,18500000.0,4878.0,SINGLE_FAMILY,3792.54,3
1351 Laurier Ave,Shaughnessy,8.0,5.0,26800000.0,8824.0,SINGLE_FAMILY,3037.17,1
1738 Angus Dr,Shaughnessy,7.0,4.0,24998000.0,7984.0,SINGLE_FAMILY,3131.01,2
1318 Minto Cres,Shaughnessy,9.0,5.0,24800000.0,9949.0,SINGLE_FAMILY,2492.71,3
2606 SW Marine Dr,Marpole,7.0,5.0,22000000.0,10177.0,SINGLE_FAMILY,2161.74,1
8415 Wiltshire St,Marpole,9.0,7.0,8280000.0,7644.0,SINGLE_FAMILY,1083.2,2
1328 W 57th Ave,Marpole,8.0,6.0,6988000.0,6551.0,SINGLE_FAMILY,1066.71,3
1188 W 55th Ave,Oakridge,12.0,8.0,28880000.0,15371.0,SINGLE_FAMILY,1878.86,1
6848 Hudson St,Oakridge,8.0,6.0,11680000.0,7345.0,SINGLE_FAMILY,1590.2,2
825 W 42nd Ave,Oakridge,7.0,6.0,5588000.0,4467.0,SINGLE_FAMILY,1250.95,3
5038 Arbutus St,Arbutus-Ridge,9.0,6.0,11880880.0,4542.0,SINGLE_FAMILY,2615.78,1
2475 W 34th Ave,Arbutus-Ridge,7.0,6.0,7988000.0,5348.0,SINGLE_FAMILY,1493.64,2
4723 Puget Dr,Arbutus-Ridge,8.0,7.0,6980000.0,4865.0,SINGLE_FAMILY,1434.74,3
3870 W 26th Ave,Riley Park,7.0,8.0,7380000.0,5178.0,SINGLE_FAMILY,1425.26,1
530 E 18th Ave,Riley Park,6.0,6.0,2988000.0,2769.0,SINGLE_FAMILY,1079.09,2
368 E 33rd Ave,Riley Park,7.0,7.0,2960000.0,1945.0,SINGLE_FAMILY,1521.85,3
1011 Cordova St W PENTHOUSE 2,Downtown,5.0,4.0,24880000.0,6585.0,CONDO,3778.28,1
667 Howe St #4801,Downtown,7.0,4.0,23988000.0,7214.0,CONDO,3325.2,2
1077 Cordova St W PENTHOUSE 4201,Downtown,5.0,3.0,19999000.0,6041.0,CONDO,3310.54,3
2666 E 53rd Ave,Victoria-Fraserview,8.0,11.0,4358000.0,4100.0,SINGLE_FAMILY,1062.93,1
6537 Wales St,Victoria-Fraserview,8.0,10.0,4198000.0,5087.0,SINGLE_FAMILY,825.24,2
2235 E 49th Ave,Victoria-Fraserview,3.0,3.0,2980000.0,2168.0,SINGLE_FAMILY,1374.54,3
3259 E 48th Ave,Killarney,3.0,7.0,1698000.0,2427.0,SINGLE_FAMILY,699.63,1
