streetAddress,neighbourhoodName,bathrooms,bedrooms,price,livingArea,homeType,dollarPerSqFt,ranking
1055 Wolfe Ave,Shaughnessy,5.0,8.0,4988000.0,5765.0,SINGLE_FAMILY,865.22,1
1056 Richelieu Ave,Shaughnessy,3.0,5.0,4450000.0,5143.0,SINGLE_FAMILY,865.25,2
1011 King Edward Ave W #201,Shaughnessy,2.0,2.0,799900.0,902.0,CONDO,886.81,3
4549 Osler St,Shaughnessy,6.0,6.0,4998000.0,5327.0,SINGLE_FAMILY,938.24,4
5290 Angus Dr,Shaughnessy,4.0,6.0,3999000.0,3764.0,SINGLE_FAMILY,1062.43,5
727 E 39th Ave,Kensington-Cedar Cottage,3.0,9.0,1700000.0,2880.0,SINGLE_FAMILY,590.28,1
4751 Saint Catherines St,Kensington-Cedar Cottage,3.0,3.0,1499000.0,2536.0,SINGLE_FAMILY,591.09,2
4022 Perry St,Kensington-Cedar Cottage,2.0,4.0,1588000.0,2404.0,SINGLE_FAMILY,660.57,3
4769 Lanark St,Kensington-Cedar Cottage,3.0,5.0,1628800.0,2455.0,SINGLE_FAMILY,663.46,4
3315 Knight St,Kensington-Cedar Cottage,2.0,4.0,1098000.0,1528.0,SINGLE_FAMILY,718.59,5
2418 Broad Way #302,Renfrew-Collingwood,2.0,2.0,419900.0,992.0,APARTMENT,423.29,1
3576 Dieppe Dr,Renfrew-Collingwood,6.0,9.0,2198800.0,3509.0,SINGLE_FAMILY,626.62,2
3326 Slocan St,Renfrew-Collingwood,3.0,4.0,1599000.0,2345.0,SINGLE_FAMILY,681.88,3
2880 E 22nd Ave,Renfrew-Collingwood,2.0,4.0,1688000.0,2423.0,SINGLE_FAMILY,696.66,4
2479 Saint Lawrence St,Renfrew-Collingwood,5.0,7.0,1950000.0,2725.0,MULTI_FAMILY,715.6,5
1251 W 71st Ave #102,Marpole,1.0,1.0,499000.0,730.0,CONDO,683.56,1
1328 W 73rd Ave #1,Marpole,2.0,2.0,699000.0,858.0,TOWNHOUSE,814.69,2
